"","INSTNM","CITY","STABBR","ZIP","ACCREDAGENCY","INSTURL","NPCURL","SCH_DEG","HCM2","UG","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","UGDS_NRA","UGDS_UNKN","UGDS_WHITENH","UGDS_BLACKNH","UGDS_API","UGDS_AIANOLD","UGDS_HISPOLD","UG_NRA","UG_UNKN","UG_WHITENH","UG_BLACKNH","UG_API","UG_AIANOLD","UG_HISPOLD","PPTUG_EF","PPTUG_EF2","CURROPER","NPT4_PUB","NPT4_PRIV","NPT4_PROG","NPT4_OTHER","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","NPT41_PROG","NPT42_PROG","NPT43_PROG","NPT44_PROG","NPT45_PROG","NPT41_OTHER","NPT42_OTHER","NPT43_OTHER","NPT44_OTHER","NPT45_OTHER","NPT4_048_PUB","NPT4_048_PRIV","NPT4_048_PROG","NPT4_048_OTHER","NPT4_3075_PUB","NPT4_3075_PRIV","NPT4_75UP_PUB","NPT4_75UP_PRIV","NPT4_3075_PROG","NPT4_3075_OTHER","NPT4_75UP_PROG","NPT4_75UP_OTHER","NUM4_PUB","NUM4_PRIV","NUM4_PROG","NUM4_OTHER","NUM41_PUB","NUM42_PUB","NUM43_PUB","NUM44_PUB","NUM45_PUB","NUM41_PRIV","NUM42_PRIV","NUM43_PRIV","NUM44_PRIV","NUM45_PRIV","NUM41_PROG","NUM42_PROG","NUM43_PROG","NUM44_PROG","NUM45_PROG","NUM41_OTHER","NUM42_OTHER","NUM43_OTHER","NUM44_OTHER","NUM45_OTHER","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITIONFEE_PROG","TUITFTE","INEXPFTE"
"45","College of the Ouachitas","Malvern","AR","72104-0816","North Central Association of Colleges and Schools The Higher Learning Commission","www.coto.edu","www.coto.edu/sites/default/static/netpricecalc/npcalc.htm","NULL",0,"NULL","0.7539","0.1571","0.0432","0.0026","0.0039","0","0.038","0.0013","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.3508","NULL",1,"8263","NULL","NULL","NULL","7644","8850","10082","11971","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7980","NULL","NULL","NULL","9116","NULL","11971","NULL","NULL","NULL","NULL","NULL","116","NULL","NULL","NULL","75","29","8","4","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12416","NULL","3620","6410","NULL","1998","5589"
"46","Ozarka College","Melbourne","AR","72556-0010","North Central Association of Colleges and Schools The Higher Learning Commission","www.ozarka.edu","www.ozarka.edu/finaid/npcalc.cfm","NULL",0,"NULL","0.9739","0.0048","0.0119","0.0036","0.0036","0.0024","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2874","NULL",1,"5273","NULL","NULL","NULL","5243","5428","5487","5493","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5263","NULL","NULL","NULL","5442","NULL","5493","NULL","NULL","NULL","NULL","NULL","154","NULL","NULL","NULL","131","16","5","2","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11481","NULL","2776","5128","NULL","993","4331"
"47","University of the Ozarks","Clarksville","AR","72830","North Central Association of Colleges and Schools The Higher Learning Commission","https://www.ozarks.edu","https://admissions.ozarks.edu/secure/calc/default.aspx","NULL",0,"NULL","0.6563","0.0609","0.1031","0.0031","0.0094","0.0016","0.0391","0.1188","0.0078","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0109","NULL",1,"NULL","14723","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12704","12719","14145","18082","21400","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12709","NULL","NULL","NULL","13321","NULL","19427","NULL","NULL","NULL","NULL","NULL","137","NULL","NULL","NULL","NULL","NULL","NULL","NULL","55","26","19","22","15","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","35792","NULL","24440","24440","NULL","10999","10250"
"48","University of Arkansas Community College-Morrilton","Morrilton","AR","72110","North Central Association of Colleges and Schools The Higher Learning Commission","www.uaccm.edu","www.uaccm.edu/Future_Student/Calculator/calculator.htm","NULL",0,"NULL","0.7508","0.0975","0.0614","0.0066","0.0051","0","0.0528","0.0213","0.0046","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.3208","NULL",1,"5464","NULL","NULL","NULL","4535","5212","6459","8495","9692","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4711","NULL","NULL","NULL","5809","NULL","8867","NULL","NULL","NULL","NULL","NULL","267","NULL","NULL","NULL","142","50","46","20","9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10306","NULL","2852","3908","NULL","2023","4270"
"49","Philander Smith College","Little Rock","AR","72202-3799","North Central Association of Colleges and Schools The Higher Learning Commission","www.philander.edu","www.philander.edu/financial-aid/npc.aspx","NULL",0,"NULL","0.0017","0.9058","0.0103","0.0086","0.0017","0.0017","0.0171","0.0531","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0599","NULL",1,"NULL","15676","NULL","NULL","NULL","NULL","NULL","NULL","NULL","15300","15597","15893","17912","21978","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","15360","NULL","NULL","NULL","15677","NULL","18815","NULL","NULL","NULL","NULL","NULL","110","NULL","NULL","NULL","NULL","NULL","NULL","NULL","75","19","7","7","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","26179","NULL","12564","12564","NULL","8039","7003"
"50","Phillips Community College of the University of Arkansas","Helena","AR","72342-0785","North Central Association of Colleges and Schools The Higher Learning Commission","www.pccua.edu","https://pccuaedu-public.sharepoint.com/netcalc","NULL",0,"NULL","0.4576","0.4986","0.0169","0.0056","0.0028","0.0014","0.0014","0","0.0155","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.3023","NULL",1,"4454","NULL","NULL","NULL","4288","4738","5842","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4380","NULL","NULL","NULL","4966","NULL","NULL","NULL","NULL","NULL","NULL","NULL","118","NULL","NULL","NULL","89","23","6","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10321","NULL","2593","4325","NULL","663","7612"
"51","Southeast Arkansas College","Pine Bluff","AR","71603","North Central Association of Colleges and Schools The Higher Learning Commission","www.seark.edu","www.seark.edu/financial-aid/net-price-calculator","NULL",0,"NULL","0.3861","0.5814","0.0177","0.0044","0.0022","0.0015","0.0066","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.5114","NULL",1,"2467","NULL","NULL","NULL","2125","2944","3744","4907","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2278","NULL","NULL","NULL","3162","NULL","4907","NULL","NULL","NULL","NULL","NULL","190","NULL","NULL","NULL","139","32","12","7","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8102","NULL","3070","5590","NULL","1864","6209"
"52","Professional Cosmetology Education Center","El Dorado","AR","71730-4009","National Accrediting Commission of Career Arts and Sciences","www.pcec.edu","www.pcec.edu/hea/npcalc.htm","NULL",0,"NULL","0.7805","0.1707","0.0244","0","0","0","0.0244","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",1,"NULL","6348","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5045","8210","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6348","NULL","NULL","NULL","8210","NULL","NULL","NULL","NULL","NULL","NULL","NULL","17","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","7","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11030","NULL","NULL","14350","4906","2854"
"53","Pulaski Technical College","North Little Rock","AR","72118-3347","North Central Association of Colleges and Schools The Higher Learning Commission","www.pulaskitech.edu","www.pulaskitech.edu/administration/net_price_calculator/npcalc.htm","NULL",0,"NULL","0.4001","0.4828","0.0484","0.0115","0.0032","0.0012","0.0317","0.0028","0.0184","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.492","NULL",1,"9195","NULL","NULL","NULL","8566","9016","11401","12919","13736","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8640","NULL","NULL","NULL","9918","NULL","13355","NULL","NULL","NULL","NULL","NULL","661","NULL","NULL","NULL","468","92","56","21","24","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14683","NULL","4332","6072","NULL","1638","3918"
"54","University of Arkansas Community College-Hope","Hope","AR","71801","North Central Association of Colleges and Schools The Higher Learning Commission","www.uacch.edu","www.uacch.edu/netpricecal/npcalc.htm","NULL",0,"NULL","0.5062","0.4199","0.0623","0.0058","0.0038","0","0.0019","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.3682","NULL",1,"8438","NULL","NULL","NULL","8335","8586","9148","9163","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8381","NULL","NULL","NULL","8738","NULL","9163","NULL","NULL","NULL","NULL","NULL","161","NULL","NULL","NULL","122","27","10","2","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13911","NULL","2460","4770","NULL","1189","5674"
"55","Rich Mountain Community College","Mena","AR","71953","North Central Association of Colleges and Schools The Higher Learning Commission","www.rmcc.edu","www.rmcc.edu","NULL",0,"NULL","0.8563","0.002","0.0599","0.01","0.0279","0","0.0299","0.012","0.002","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.3313","NULL",1,"5146","NULL","NULL","NULL","5008","4818","7413","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4970","NULL","NULL","NULL","5544","NULL","NULL","NULL","NULL","NULL","NULL","NULL","97","NULL","NULL","NULL","72","18","7","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11423","NULL","2448","5400","NULL","1522","5593"
"56","Paul Mitchell the School-Arkansas","Fayetteville","AR","72703","National Accrediting Commission of Career Arts and Sciences","www.pmtsarkansas.com","https://arkansas.paulmitchell.edu/programs/Tuition-Calculator","NULL",0,"NULL","0.8241","0.0556","0.0926","0.0185","0.0093","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2593","NULL",1,"NULL","19143","NULL","NULL","NULL","NULL","NULL","NULL","NULL","17583","19528","17708","22788","22788","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","18155","NULL","NULL","NULL","19225","NULL","22788","NULL","NULL","NULL","NULL","NULL","23","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12","5","1","2","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","22788","NULL","NULL","13500","9754","4001"
"57","Searcy Beauty College","Searcy","AR","72143","National Accrediting Commission of Career Arts and Sciences","searcybeautycollege.com/","searcybeautycollege.com","NULL",0,"NULL","0.9231","0.0385","0.0385","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",1,"NULL","18153","NULL","NULL","NULL","NULL","NULL","NULL","NULL","17958","19520","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","18153","NULL","NULL","NULL","19520","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14","2","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","22385","NULL","NULL","13200","2198","1261"
"58","Shorter College","N Little Rock","AR","72114","Transnational Association of Christian Colleges and Schools","www.shortercollege.edu","www.shortercollege.edu","NULL",0,"NULL","0.0127","0.9831","0.0042","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1059","NULL",1,"NULL","16833","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16833","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16833","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","35","NULL","NULL","NULL","NULL","NULL","NULL","NULL","35","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20759","NULL","4904","4904","NULL","5449","2768"
"59","Williams Baptist College","Walnut Ridge","AR","72476","North Central Association of Colleges and Schools The Higher Learning Commission","www.wbcoll.edu","williamsbaptistcollege.com/financial_aid_scholarships/net_price_calculator.aspx","NULL",0,"NULL","0.8306","0.0857","0.0408","0","0.0143","0","0","0.0286","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0163","NULL",1,"NULL","14731","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12827","13477","14719","16829","16388","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13065","NULL","NULL","NULL","14227","NULL","16663","NULL","NULL","NULL","NULL","NULL","126","NULL","NULL","NULL","NULL","NULL","NULL","NULL","33","19","29","28","17","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","24697","NULL","16430","16430","NULL","6947","6148"
"60","South Arkansas Community College","El Dorado","AR","71731-7010","North Central Association of Colleges and Schools The Higher Learning Commission","www.southark.edu","www.southark.edu/netpricecalculator/","NULL",0,"NULL","0.5398","0.39","0.0584","0.0034","0.0042","0","0","0","0.0042","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.4915","NULL",1,"9059","NULL","NULL","NULL","9059","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9059","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","106","NULL","NULL","NULL","106","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14152","NULL","2402","4538","NULL","1689","6784"
"61","Southern Arkansas University Main Campus","Magnolia","AR","71753","North Central Association of Colleges and Schools The Higher Learning Commission","https://www.saumag.edu","https://www.saumag.edu/netprice/","NULL",0,"NULL","0.6327","0.2812","0.0304","0.0056","0.0059","0.0098","0","0.0339","0.0003","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0686","NULL",1,"11328","NULL","NULL","NULL","10133","10632","13265","14768","15003","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10273","NULL","NULL","NULL","11715","NULL","14839","NULL","NULL","NULL","NULL","NULL","361","NULL","NULL","NULL","187","73","51","35","15","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","19970","NULL","7961","11531","NULL","3934","6340"
"62","Southern Arkansas University Tech","Camden","AR","71701-1906","North Central Association of Colleges and Schools The Higher Learning Commission","www.sautech.edu","www.sautech.edu/netPriceCalc/npcalc.htm","NULL",0,"NULL","0.5968","0.34","0.0244","0.0043","0.0014","0.0014","0.0258","0.0029","0.0029","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2898","NULL",1,"10043","NULL","NULL","NULL","9604","10358","12196","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9785","NULL","NULL","NULL","10971","NULL","NULL","NULL","NULL","NULL","NULL","NULL","56","NULL","NULL","NULL","38","12","6","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16936","NULL","4677","6117","NULL","2380","7323"
"63","Velvatex College of Beauty Culture","Little Rock","AR","72202-5452","National Accrediting Commission of Career Arts and Sciences","www.velvatexcollege.com","www.velvatexcollege.com","NULL",0,"NULL","0.0435","0.913","0","0","0.0435","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1304","NULL",1,"NULL","4155","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4155","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4155","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","18","NULL","NULL","NULL","NULL","NULL","NULL","NULL","18","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9885","NULL","NULL","14562","375","692"
"64","University of Arkansas-Fort Smith","Fort Smith","AR","72913-3649","North Central Association of Colleges and Schools The Higher Learning Commission","uafs.edu/","admissions.uafs.edu/sites/admissions.uafs.edu/files/Departments/Financial/documents/np_calc/npcalc.htm","NULL",0,"NULL","0.6983","0.0405","0.1071","0.0509","0.0249","0.0009","0.0634","0.0132","0.0009","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2063","NULL",1,"7425","NULL","NULL","NULL","7210","6899","8576","9525","11822","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7185","NULL","NULL","NULL","7709","NULL","10059","NULL","NULL","NULL","NULL","NULL","845","NULL","NULL","NULL","684","61","57","33","10","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13897","NULL","5062","11302","NULL","2468","5743"
"65","NorthWest Arkansas Community College","Bentonville","AR","72712-5091","North Central Association of Colleges and Schools The Higher Learning Commission","www.nwacc.edu","https://content.nwacc.edu/netprice/npcalc.htm","NULL",0,"NULL","0.6414","0.0266","0.1775","0.0279","0.021","0.0041","0.0289","0.0228","0.0499","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.5937","NULL",1,"6824","NULL","NULL","NULL","5371","6706","8455","10561","10518","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5746","NULL","NULL","NULL","7556","NULL","10542","NULL","NULL","NULL","NULL","NULL","580","NULL","NULL","NULL","290","113","107","39","31","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11864","NULL","3208","4708","NULL","2634","4870"
"66","ITT Technical Institute-Little Rock","Little Rock","AR","72211","NULL","www.itt-tech.edu","www.itt-tech.edu/npc","NULL",0,"NULL","0.5228","0.3503","0.0457","0.0102","0.0203","0","0.0355","0","0.0152","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.198","NULL",0,"NULL","24310","NULL","NULL","NULL","NULL","NULL","NULL","NULL","24124","23908","26272","27941","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","24089","NULL","NULL","NULL","24617","NULL","27941","NULL","NULL","NULL","NULL","NULL","47","NULL","NULL","NULL","NULL","NULL","NULL","NULL","36","7","3","1","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","27941","NULL","18048","18048","NULL","17167","2125"
"67","Arkansas State University-Mountain Home","Mountain Home","AR","72653","North Central Association of Colleges and Schools The Higher Learning Commission","www.asumh.edu","https://www.asumh.edu/financial-aid/net-price-calculator.html","NULL",0,"NULL","0.8887","0.0063","0.0316","0.0032","0.0126","0","0.0458","0","0.0118","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.4136","NULL",1,"10001","NULL","NULL","NULL","9232","9916","11961","12762","13853","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9407","NULL","NULL","NULL","10765","NULL","12871","NULL","NULL","NULL","NULL","NULL","153","NULL","NULL","NULL","90","31","22","9","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13853","NULL","2736","4320","NULL","1204","7102"
