"","INSTNM","CITY","STABBR","ZIP","ACCREDAGENCY","INSTURL","NPCURL","SCH_DEG","HCM2","UG","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","UGDS_NRA","UGDS_UNKN","UGDS_WHITENH","UGDS_BLACKNH","UGDS_API","UGDS_AIANOLD","UGDS_HISPOLD","UG_NRA","UG_UNKN","UG_WHITENH","UG_BLACKNH","UG_API","UG_AIANOLD","UG_HISPOLD","PPTUG_EF","PPTUG_EF2","CURROPER","NPT4_PUB","NPT4_PRIV","NPT4_PROG","NPT4_OTHER","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","NPT41_PROG","NPT42_PROG","NPT43_PROG","NPT44_PROG","NPT45_PROG","NPT41_OTHER","NPT42_OTHER","NPT43_OTHER","NPT44_OTHER","NPT45_OTHER","NPT4_048_PUB","NPT4_048_PRIV","NPT4_048_PROG","NPT4_048_OTHER","NPT4_3075_PUB","NPT4_3075_PRIV","NPT4_75UP_PUB","NPT4_75UP_PRIV","NPT4_3075_PROG","NPT4_3075_OTHER","NPT4_75UP_PROG","NPT4_75UP_OTHER","NUM4_PUB","NUM4_PRIV","NUM4_PROG","NUM4_OTHER","NUM41_PUB","NUM42_PUB","NUM43_PUB","NUM44_PUB","NUM45_PUB","NUM41_PRIV","NUM42_PRIV","NUM43_PRIV","NUM44_PRIV","NUM45_PRIV","NUM41_PROG","NUM42_PROG","NUM43_PROG","NUM44_PROG","NUM45_PROG","NUM41_OTHER","NUM42_OTHER","NUM43_OTHER","NUM44_OTHER","NUM45_OTHER","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITIONFEE_PROG","TUITFTE","INEXPFTE"
"68","Remington College-Little Rock Campus","Little Rock","AR","72204","Accrediting Commission of Career Schools and Colleges","www.remingtoncollege.edu/little-rock-arkansas-technical-colleges","calculator.remingtoncollege.edu/","NULL",0,"NULL","0.3922","0.4314","0.098","0.0392","0","0","0.0392","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",1,"NULL","24243","NULL","NULL","NULL","NULL","NULL","NULL","NULL","24062","24299","27190","28180","28180","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","24086","NULL","NULL","NULL","24660","NULL","28180","NULL","NULL","NULL","NULL","NULL","72","NULL","NULL","NULL","NULL","NULL","NULL","NULL","62","7","1","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","28180","NULL","16950","16950","NULL","9936","7437"
"69","Arkansas State University-Newport","Newport","AR","72112","North Central Association of Colleges and Schools The Higher Learning Commission","www.asun.edu","www.asun.edu/netprice","NULL",0,"NULL","0.7148","0.1759","0.0382","0.004","0.0013","0.0007","0.0303","0.0079","0.027","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.3465","NULL",1,"5352","NULL","NULL","NULL","4753","5612","6898","9229","9685","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4966","NULL","NULL","NULL","6059","NULL","9353","NULL","NULL","NULL","NULL","NULL","285","NULL","NULL","NULL","182","60","32","8","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10339","NULL","2616","4008","NULL","2026","4865"
"70","Arthur's Beauty School Inc-Conway","Conway","AR","72032","National Accrediting Commission of Career Arts and Sciences","www.arthursbeautycollege.com","www.arthursbeautycollege.com/conway.html","NULL",0,"NULL","0.55","0.375","0.075","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",1,"NULL","9283","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9283","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9283","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","29","NULL","NULL","NULL","NULL","NULL","NULL","NULL","29","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13237","NULL","NULL","13045","9416","4747"
"71","Credence Institute of Beauty","Crossett","AR","71635","NULL","crossettschoolofcosmetology.com","crossettschoolofcosmetology.com/prospective-students/price-calculator","NULL",0,"NULL","0.8125","0.125","0.0625","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",0,"NULL","9046","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8954","10889","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9046","NULL","NULL","NULL","10889","NULL","NULL","NULL","NULL","NULL","NULL","NULL","21","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20","1","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14089","NULL","NULL","12700","9038","4295"
"72","Ecclesia College","Springdale","AR","72762","Association for Bibical Higher Educaiton","www.ecollege.edu/","ecollege.edu/cost-of-education/","NULL",1,"NULL","0.7158","0.0863","0.0755","0.0072","0.0252","0.0036","0.0216","0.0647","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1475","NULL",1,"NULL","16530","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13804","13890","17017","21930","19394","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13822","NULL","NULL","NULL","16055","NULL","20451","NULL","NULL","NULL","NULL","NULL","40","NULL","NULL","NULL","NULL","NULL","NULL","NULL","15","4","9","5","7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","27720","NULL","15140","15140","NULL","12361","5174"
"73","Blue Cliff College-Fayetteville","Fayetteville","AR","72703","Accrediting Commission of Career Schools and Colleges","bluecliffcollege.com","bluecliffcollege.edu/cosmo-npcalc/cosmetologynpcalc.htm","NULL",0,"NULL","0.669","0.0845","0.162","0.0035","0.0317","0.0423","0.007","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",1,"NULL","20516","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20384","21979","22503","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20459","NULL","NULL","NULL","22176","NULL","NULL","NULL","NULL","NULL","NULL","NULL","217","NULL","NULL","NULL","NULL","NULL","NULL","NULL","201","10","6","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","23651","NULL","NULL","15470","7745","1433"
"74","Bryan University","Rogers","AR","72756","Accrediting Council for Independent Colleges and Schools","www.bryanu.edu","www.bryanu.edu","NULL",0,"NULL","0.4","0.05","0.35","0.1","0","0.1","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",1,"NULL","19556","NULL","NULL","NULL","NULL","NULL","NULL","NULL","19556","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","19556","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","24125","NULL","15433","15433","NULL","14223","2009"
"75","Heritage College-Little Rock","Little Rock","AR","72227","NULL","www.heritagecollege.edu","www.heritage-education.com","NULL",0,"NULL","0.4503","0.4945","0.0287","0.0066","0","0.0022","0.0132","0","0.0044","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",0,"NULL","19563","NULL","NULL","NULL","NULL","NULL","NULL","NULL","19475","19666","20984","21900","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","19489","NULL","NULL","NULL","20085","NULL","21900","NULL","NULL","NULL","NULL","NULL","209","NULL","NULL","NULL","NULL","NULL","NULL","NULL","185","15","7","2","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","23240","NULL","NULL","21000","7389","2044"
"76","Washington Barber College Inc","Little Rock","AR","72209-3820","Council on Occupational Education","www.washingtonbarbercollege.com/","www.washingtonbarbercollege.edu","NULL",0,"NULL","0","0.9612","0.0194","0","0.0097","0","0","0","0.0097","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",1,"NULL","6493","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6493","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6493","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","57","NULL","NULL","NULL","NULL","NULL","NULL","NULL","57","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11998","NULL","NULL","13500","6196","2254"
"77","Strayer University-Arkansas","Little Rock","AR","72211","Middle States Commission on Higher Education","www.strayer.edu/arkansas/little-rock","https://strayer.aidcalc.com/netprice.htm","NULL",0,"NULL","0.2583","0.6954","0.0199","0","0","0.0066","0.0199","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.8742","NULL",1,"NULL","23814","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","23814","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","23814","NULL","NULL","NULL","23814","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","29544","NULL","12975","12975","NULL","15952","2187"
"78","The Salon Professional Academy-North Little Rock","North Little Rock","AR","72116-7310","National Accrediting Commission of Career Arts and Sciences","littlerockbeautyschool.com/","littlerockbeautyschool.com/enrollment/","NULL",0,"NULL","0.7391","0.1594","0.0435","0.0145","0","0","0","0","0.0435","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1159","NULL",1,"NULL","9524","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9524","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9524","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","41","NULL","NULL","NULL","NULL","NULL","NULL","NULL","41","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13919","NULL","NULL","15990","7174","1806"
"79","Regency Beauty Institute-Little Rock","Little Rock","AR","72205","NULL","www.regency.edu","www.regency.edu/institute/financial-aid/calculator/","NULL",0,"NULL","0.0972","0.375","0.0278","0","0.0139","0","0.0556","0","0.4306","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.3889","NULL",0,"NULL","22374","NULL","NULL","NULL","NULL","NULL","NULL","NULL","22374","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","22374","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","39","NULL","NULL","NULL","NULL","NULL","NULL","NULL","39","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","25865","NULL","NULL","17400","10385","8098"
"80","Regency Beauty Institute-Fayetteville","Fayetteville","AR","72703","NULL","www.regency.edu","www.regency.edu/institute/financial-aid/calculator/","NULL",0,"NULL","0.3333","0.0333","0.0667","0","0.0333","0","0.1667","0","0.3667","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.4","NULL",0,"NULL","20243","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20243","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20243","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","23305","NULL","NULL","17400","18374","14327"
"81","Designer Barber & Stylist School","Ft Smith","AR","72903-3753","National Accrediting Commission of Career Arts and Sciences","designercollege.net","designercollege.net","NULL",0,"NULL","0.5455","0.1818","0.1818","0.0606","0.0303","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",1,"NULL","16220","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16220","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16220","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","25","NULL","NULL","NULL","NULL","NULL","NULL","NULL","25","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","21411","NULL","NULL","14900","9135","1010"
"82","University of Phoenix-Arkansas","Little Rock","AR","72211","North Central Association of Colleges and Schools The Higher Learning Commission","www.phoenix.edu","www.phoenix.edu/tuition_and_financial_options/tuition_and_fees.html","NULL",0,"NULL","0.3744","0.2654","0.0379","0.0095","0.019","0.0095","0.0427","0","0.2417","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6079","2783"
"83","New Beginnings Beauty Academy","Pine Bluff","AR","71601-5257","National Accrediting Commission of Career Arts and Sciences","nbbacosmetology.com","nbbacosmetology.com","NULL",0,"NULL","0","1","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1935","NULL",1,"NULL","7822","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7822","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7822","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10202","NULL","NULL","12000","3122","927"
"84","The Beauty School","Mountain Home","AR","72653","National Accrediting Commission of Career Arts and Sciences","thebeautyschoolmh.com","thebeautyschoolmh.com","NULL",0,"NULL","1","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",1,"NULL","17350","NULL","NULL","NULL","NULL","NULL","NULL","NULL","17350","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","17350","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20189","NULL","NULL","12870","8058","6396"
"85","Academy of Professional Cosmetology","Rogers","AR","72756-2028","National Accrediting Commission of Career Arts and Sciences","www.apcschools.com","apcschools.com/price-calculator/","NULL",0,"NULL","0.7708","0","0.1667","0.0208","0","0","0","0.0208","0.0208","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0417","NULL",1,"NULL","9687","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9687","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9687","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13955","NULL","NULL","6701","210","1503"
"86","Arkansas College of Barbering and Hair Design","Little Rock","AR","722054949","Accrediting Commission of Career Schools and Colleges","www.arkansascollegeofbarbering.com","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16750","NULL","NULL"
"87","Arkansas College of Barbering & Hair Design -  SWLR Campus","Little Rock","AR","722094949","NULL","NULL","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16750","NULL","NULL"
"88","Career Academy of Hair Design-Siloam Springs","Siloam Springs","AR","727614217","National Accrediting Commission of Career Arts and Sciences","www.beautynwa.com","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13695","NULL","NULL"
"89","Career Academy of Hair Design-Rogers","Rogers","AR","727562102","National Accrediting Commission of Career Arts and Sciences","www.beautynwa.com","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13695","NULL","NULL"
"90","Career Academy of Hair Design-Fayetteville","Fayetteville","AR","727014217","National Accrediting Commission of Career Arts and Sciences","www.beautynwa.com","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13695","NULL","NULL"
"91","University of Arkansas Community College at Hope - Texarkana","Texarkana","AR","718541467","North Central Association of Colleges and Schools The Higher Learning Commission","www.uacch.edu","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2460","4770","NULL","NULL","NULL"
"92","CC's Cosmetology College-Texarkana","Texarkana","AR","71854","NULL","www.cccosmetologcollege.com","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","18400","NULL","NULL"
